u'details, date, streetaddress, city, zip, latitude, longitude,animal1,animal2
Sounds Like A Bobcat,1/5/14 2:34,1219 Gilbert Place,Bronx,10474,40.818124,-73.887756,,
Roosters Crow All Day And Night For The Last 6 Months. It's A Nightmare.,1/14/14 15:29,1133 Lafayette Avenue,Brooklyn,11221,40.693257,-73.926513,crow,
I Observed An Alligator,1/14/14 1:00,2376 Webster Avenue,Bronx,10458,40.85804,-73.894007,,
Today I Am Calling To Report That My Neighbor That Lives Upstairs From Have 4 Iguanas  2 Lizards And A Dog That Live With Him. I Am Afraid That The Iguanas Or Lizards Could Come Down Into My Apartment Because He Do Not Have Them Inside Of A Cage. His Apartment Is So Nasty Somebody Need To Come Out Here To Inspect This Location. Also The Dog Barks All Day And Nite.,10/27/13 16:31,55 Lasalle Street,New York,10027,40.813077,-73.957084,,
The Caller Stated That He Think It's A Snake In His Backyard. And He Wants Someone To Come To Investigated The Situation.,2/4/14 14:06,115-15 165 Street,Jamaica,11434,40.687764,-73.782697,snake,
Next Door Neighbor Has A Rooster As A Pet And It Is Crowing All Hours Of The Night. It Is A Huge Disruption In The Neighborhood.,2/5/14 14:25,1157 Greene Avenue,Brooklyn,11221,40.694921,-73.922927,pet,
2 Sugar Gliders,2/3/14 23:41,610 West 42 Street,New York,10036,40.760694,-73.998829,,
Large Pig,2/10/14 15:50,1444 84 Street,Brooklyn,11228,40.613011,-74.009494,pig,
There Is Rooster Mostly In The Backyard Of The Location Provided Though The Rooster Also Jumps To Nieghboring Yards To Eat Whatever It Can Find On The Ground.,2/10/14 18:37,554 Woodward Avenue,Ridgewood,11385,40.706887,-73.909243,rooster,
There Is A Lady That Walks Her Pig All Over College Point And Begs For Money,2/2/14 0:39,18-09 124 Street,College Point,11356,40.782891,-73.843767,pig,
"[Redacted] Claims That The Doh Told Her That She Had To Relocate Her Pig Last Year. She Told Me That She Lied And The Pig Is Still With Her. She Parades This Animal Up And Down The Queens Streets And Even Begs For Money So She Could Pay Her Bills. The Doh Made Me Relocate My Two Pigs Because It Was Illegal And Since I\'M Living In The Same Neighborhood As This Lady And Seeing Her Getting Away With This Really Irritates Me. She Even Has A Face Book Page For This Pig And It Is ""Therapy Pig-Wilburs Life"" On The Page You Will Be Able To See All Recent Photographs Of The Pig Around The Queens Area And Even In Nyc. If I Had To Follow The Law",2/3/14 1:10,18-09 124 Street,College Point,11356,40.782891,-73.843767,pigs,
The Super In The Building Next Door,11/21/13 15:10,666 Ocean Avenue,Brooklyn,11226,40.646439,-73.960728,,
A Neighbor Who Lives 2 Buildings Over From Me,1/21/14 20:56,212 Starr Street,Brooklyn,11237,40.704836,-73.922996,,
Pitbul Dog. That Is Not Suppose To Be In The Household Because It Is Not On The Lease,11/1/13 15:32,150-18 24 Road,Whitestone,11357,40.776206,-73.814147,,
